month,hour,is_weekday,is_peak_hour,weighted_prod_rate
11,04:00,0,0,18.64
11,05:00,0,0,18.64
11,06:00,0,0,18.64
11,07:00,0,0,18.64
11,08:00,0,0,18.64
11,09:00,0,0,18.64
11,10:00,0,0,18.64
11,11:00,0,0,18.64
11,12:00,0,0,18.64
11,13:00,0,0,18.64
11,14:00,0,0,18.64
11,15:00,0,0,18.64
11,16:00,0,0,18.64
11,17:00,0,0,18.64
11,18:00,0,0,18.64
11,19:00,0,0,18.64
11,20:00,0,0,18.64
11,21:00,0,0,18.64
11,22:00,0,0,18.64
11,23:00,0,0,18.64
